"Название";"Цена";"Двигатель";"Комплектация";"Коробка передач";"Мощность";"Поколение";"Привод";"Пробег";"Руль";"Тип кузова";"Цвет";"Особые отметки";"url"
"Продажа Toyota RAV4, 1994 год в Иркутске";"440000.0";"бензин, 2.0 л";"";"АКПП";"135 л.с.";"1 поколение";"4WD";"400000.0";"правый";"джип/suv 3 дв.";"синий";"";"https://auto.drom.ru/irkutsk/toyota/rav4/205385659.html"
"Продажа Toyota RAV4, 2014 год в Иркутске";"2200000.0";"бензин, 2.0 л";"2.0 CVT 4WD Престиж Плюс";"вариатор";"146 л.с.";"4 поколение";"4WD";"190000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/531963356.html"
"Продажа Toyota RAV4, 2016 год в Иркутске";"2540000.0";"бензин, 2.0 л";"2.0 CVT 2WD Комфорт";"вариатор";"146 л.с.";"4 поколение, рестайлинг";"передний";"120000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/611341718.html"
"Продажа Toyota RAV4, 2012 год в Иркутске";"2180000.0";"бензин, 2.4 л";"2.4 AT Long Престиж Плюс";"АКПП";"170 л.с.";"3 поколение, рестайлинг";"4WD";"135000.0";"левый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/905681829.html"
"Продажа Toyota RAV4, 2016 год в Иркутске";"2600000.0";"бензин, 2.0 л";"2.0 CVT 4WD Комфорт";"вариатор";"146 л.с.";"4 поколение, рестайлинг";"4WD";"139000.0";"левый";"джип/suv 5 дв.";"синий";"";"https://auto.drom.ru/irkutsk/toyota/rav4/410418236.html"
"Продажа Toyota RAV4, 2020 год в Иркутске";"4190000.0";"бензин, 2.5 л";"2.5 AT 4WD Престиж Safety";"АКПП";"199 л.с.";"5 поколение";"4WD";"58490.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/909254159.html"
"Продажа Toyota RAV4, 2020 год в Иркутске";"4200000.0";"бензин, 2.5 л";"";"АКПП";"199 л.с.";"5 поколение";"4WD";"101392.0";"левый";"джип/suv 5 дв.";"зеленый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/188343978.html"
"Продажа Toyota RAV4, 2000 год в Иркутске";"810000.0";"бензин, 1.8 л";"";"АКПП";"125 л.с.";"2 поколение";"передний";"242.0";"правый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/908733748.html"
"Продажа Toyota RAV4, 2021 год в Иркутске";"4400000.0";"бензин, 2.5 л";"";"АКПП";"199 л.с.";"5 поколение";"4WD";"32978.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/345295006.html"
"Продажа Toyota RAV4, 2016 год в Иркутске";"2950000.0";"бензин, 2.0 л";"2.0 CVT 4WD Exclusive";"вариатор";"146 л.с.";"4 поколение, рестайлинг";"4WD";"79000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/194052876.html"
"Продажа Toyota RAV4, 2021 год в Иркутске";"4380000.0";"бензин, 2.5 л";"2.5 AT 4WD Комфорт";"АКПП";"199 л.с.";"5 поколение";"4WD";"24147.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/316180897.html"
"Продажа Toyota RAV4, 2003 год в Иркутске";"699000.0";"бензин, 1.8 л";"1.8 L X";"АКПП";"125 л.с.";"2 поколение";"передний";"258000.0";"правый";"джип/suv 5 дв.";"золотистый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/318305161.html"
"Продажа Toyota RAV4, 2013 год в Иркутске";"2045000.0";"бензин, 2.0 л";"2.0 CVT 4WD Комфорт Плюс";"вариатор";"146 л.с.";"4 поколение";"4WD";"197574.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/220566655.html"
"Продажа Toyota RAV4, 2021 год в Иркутске";"3900000.0";"бензин, 2.0 л";"2.0 CVT 4WD Престиж Safety";"вариатор";"149 л.с.";"5 поколение";"4WD";"45000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/891728719.html"
"Продажа Toyota RAV4, 2009 год в Иркутске";"1695000.0";"бензин, 2.4 л";"2.4 АТ Престиж Long";"АКПП";"170 л.с.";"3 поколение, рестайлинг";"4WD";"176000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/512547743.html"
"Продажа Toyota RAV4, 2018 год в Иркутске";"2935000.0";"бензин, 2.0 л";"2.0 CVT 4WD Комфорт Плюс";"вариатор";"146 л.с.";"4 поколение, рестайлинг";"4WD";"65080.0";"левый";"джип/suv 5 дв.";"коричневый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/933424579.html"
"Продажа Toyota RAV4, 2012 год в Иркутске";"2700000.0";"бензин, 2.0 л";"2.0 CVT 4WD Комфорт Плюс";"вариатор";"146 л.с.";"4 поколение";"4WD";"190000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/288132402.html"
"Продажа Toyota RAV4, 2019 год в Иркутске";"3998000.0";"бензин, 2.5 л";"2.5 AT 4WD Комфорт";"АКПП";"199 л.с.";"5 поколение";"4WD";"30000.0";"левый";"джип/suv 5 дв.";"";"";"https://auto.drom.ru/irkutsk/toyota/rav4/791121635.html"
